ITU-T Work Programme Report;;;;;;;
;;;;;;;
25 work item(s) match the following criteria:;;;;;;;
Study Period: ;2025-2028;;;;;;
Study Group:;SG17: Security;;;;;;
Working Party:;WP1/17: Digital identity, Quantum based security, PKI and Fundamental security technologies;;;;;;
Question:;Any;;;;;;
Work Item Status:;Pending SG/WP confirmation, Under study, Consented / Determined, Deferred to WTSA;;;;;;
First Registered: ;Anytime;;;;;;
Consent Date Between:;Any to Any;;;;;;
Approval Date Between:;Any to Any;;;;;;
;;;;;;;
Report Generated On:;11/Nov/2025 11:02:10 AM;;;;;;
Link:;https://www.itu.int/myworkspace/#/t-wp?isn_sp=9677&isn_sg=9687&isn_wp=12308&isn_qu=-1&status=8,1,3,7&firstregistered=-1&columns=b,c,d,e,f,g,j,k&pg_size=10;;;;;;
;;;;;;;
;;;;;;;
Work Item;Question;Title/Subject;Timing;Study Group;Study Period;Version;Status
X.1250rev;Q10/17;Baseline capabilities for enhanced identity management and interoperability;2025-04;SG17;2025-2028;Rev.;Determined 2025-04-17
X.srdidm;Q10/17;Security requirements for decentralized identity management systems using distributed ledger technology;2025-12;SG17;2025-2028;New;Under study
X.tas;Q10/17;Telebiometric authentication using speaker recognition;2025-12;SG17;2025-2028;New;Under study
X.bvm;Q10/17;Requirements for biometric variability management;2025-12;SG17;2025-2028;New;Under study
X.accsadlt;Q10/17;Access security authentication based on DLT;2025-12;SG17;2025-2028;New;Under study
X.oob-pacs;Q10/17;Framework for out-of-band physical access control systems using beacon-initiated mutual authentication;2025-12;SG17;2025-2028;New;Under study
X.supp.divs (ex TR.divs);Q10/17;Rationale and initial vision of a decentralized identity verification system (DIVS) based on verifiable data;2025-12;SG17;2025-2028;New;Under study
X.1254rev;Q10/17;Entity authentication assurance framework;2026-06;SG17;2025-2028;Rev.;Under study
X.tis;Q10/17;Telebiometric authentication based on information splitting;2025-12;SG17;2025-2028;New;Under study
XSTR.SIMRegBio (ex TR.SIMRegBio);Q10/17;Technical Report: Guidelines for SIM Identity and Biometrics Registration;2027-01;SG17;2025-2028;New;Under study
X.vctp;Q10/17;Verifiable credential-based trust propagation framework in the decentralized identity;2026-06;SG17;2025-2028;New;Under study
X.dpki;Q11/17;Decentralized Public-key infrastructure;2025-12;SG17;2025-2028;New;Under study
X.510 Amd.1;Q11/17;The Directory - Protocol specifications for secure operations;2025-12;SG17;2025-2028;-;Under study
X.509Amd.2;Q11/17;The Directory: Public-key and attribute certificate frameworks;2025-12;SG17;2025-2028;Rev.;Under study
X.sec_QKDNi;Q15/17;Security requirements for Quantum Key Distribution Network interworking (QKDNi);2025-12;SG17;2025-2028;New;Under study
X.sec_QKD_profr;Q15/17;Framework of quantum key distribution (QKD) protocols in QKD network;2025-12;SG17;2025-2028;New;Under study
XSTR.hyb_qsafe (ex TR.hyb_qsafe);Q15/17;Technical Report: Overview of key management of hybrid approaches for quantum-safe communications;2026-06;SG17;2025-2028;New;Under study
XSTR.kdc_qkdn (ex TR.kdc_qkdn);Q15/17;Technical Report: Key distribution center based approaches in the service layer to manage keys supplied by QKDN;2025-12;SG17;2025-2028;New;Under study
XSTR.ac-pqc (ex TR.ac-pqc);Q11/17;Technical Report: Guidance on use of advanced cryptography based on Post Quantum Cryptography (PQC);2025-12;SG17;2025-2028;New;Under study
XSTR.QKDN-SP (ex TR.QKDN-SP);Q15/17;Technical Report: Overview of security profile for Quantum Key Distribution Networks in hybrid mode;2026-06;SG17;2025-2028;New;Under study
XSTR.SQKDN-SC (ex TR.SQKDN-SC);Q15/17;Technical Report: Security consideration for satellite-based quantum key distribution network;2026-09;SG17;2025-2028;New;Under study
X.1281Amd1;Q10/17;APIs for interoperability of identity management systems;2025-12;SG17;2025-2028;-;Under study
X.sfdiw;Q10/17;Security framework of digital identity wallet for decentralized identity model;2026-09;SG17;2025-2028;Rev.;Under study
X.1280rev;Q10/17;Framework for out-of-band mutual authentication using mobile devices;2025-12;SG17;2025-2028;Rev.;Under study
X.aas;Q10/17;Information security, cybersecurity and privacy protection Ñ Age assurance systems Ñ Part 1: Framework;2025-12;SG17;2025-2028;New;Under study
